Fruit,"Alcohol, ethyl",Caffeine,"Calcium, Ca","Carbohydrate, by difference","Carotene, alpha","Carotene, beta",Cholesterol,"Choline, total","Copper, Cu","Cryptoxanthin, beta",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fatty acids, total trans","Fiber, total dietary","Folate, DFE","Folate, food","Folate, total",Folic acid,"Iron, Fe",Lutein + zeaxanthin,Lycopene,MUFA 16:1,MUFA 18:1,MUFA 20:1,MUFA 22:1,"Magnesium, Mg",Niacin,PUFA 18:2,PUFA 18:3,PUFA 18:4,PUFA 20:4,PUFA 20:5 n-3 (EPA),PUFA 22:5 n-3 (DPA),PUFA 22:6 n-3 (DHA),"Phosphorus, P","Potassium, K",Protein,Retinol,Riboflavin,SFA 10:0,SFA 12:0,SFA 14:0,SFA 16:0,SFA 18:0,SFA 4:0,SFA 6:0,SFA 8:0,"Selenium, Se","Sodium, Na","Sugars, added","Sugars, total including NLEA",Theobromine,Thiamin,Total Sugars,Total lipid (fat),Vitamin A,"Vitamin A, IU","Vitamin A, RAE",Vitamin B-12,"Vitamin B-12, added",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),"Vitamin E, added",Vitamin K (phylloquinone),Water,"Zinc, Zn",image_filename,,imageurl
apple,0,0,0,11.7 G,0,0,0,0,0,0,46.0 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,15.0 MG,0,0,0,0,11.7 G,0.0 G,0,0,0,0,0,0,32.5 MG,0,0,0,0,0,0,0,apple,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/apple.png?alt=media&token=1d412910-a5a7-464d-b291-9348aff942d2
avocado,0.0 G,0.0 MG,34.0 MG,7.36 G,1.0 UG,3.0 UG,40.0 MG,3.6 MG,0.01 MG,1.0 UG,427 KCAL,9.42 G,23.2 G,5.98 G,0,0.1 G,4.0 UG,4.0 UG,4.0 UG,0.0 UG,0.35 MG,39.0 UG,0.0 UG,0.091 G,9.25 G,0.08 G,0.0 G,7.0 MG,0.14 MG,20.4 G,2.73 G,0.0 G,0.0 G,0.0 G,0.0 G,0.0 G,31.0 MG,58.0 MG,1.9 G,10.0 UG,0.05 MG,0.012 G,0.013 G,0.089 G,4.25 G,1.58 G,0.016 G,0.009 G,0.006 G,1.6 UG,867 MG,0,6.67 G,0.0 MG,0.02 MG,0,43.3 G,0,0,10.0 UG,0.26 UG,0.0 UG,0.01 MG,0.2 MG,0.0 UG,0,4.6 MG,0.0 MG,96.7 UG,45.0 G,0.25 MG,avocado,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/avocado.png?alt=media&token=3ec78718-e785-442a-92e4-877841ff4cd6
banana,0,0,125 MG,40.6 G,0,0,0.0 MG,0,0,0,312 KCAL,3.12 G,3.12 G,0.0 G,0.0 G,6.2 G,0,0,0,0,1.12 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5 G,0,0,0,0,0,0,0,0,0,0,0,594 MG,0,0,0,0,6.25 G,6.25 G,0,0.0 IU,0,0,0,0,15.0 MG,0,0,0,0,0,0,0,banana,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/banana.png?alt=media&token=fda5e622-acc0-4db6-b5db-4d1b5bee6e92
blackberry,0,0,2.0 MG,4.96 G,0,0,0.0 MG,0,0,0,25.0 KCAL,0,0,0.0 G,0,1.7 G,0,0,0,0,42.0 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0,0,0,0,1.45 G,0.29 G,0,107 IU,0,0,0,0,8.0 MG,0,0,0,0,0,0,0,blackberry,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/blackberry.png?alt=media&token=f3f591d2-4e59-4a16-99e7-89a045104a17
blueberry,0,0,0,65.0 G,0,0,0,0,0,0,250 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0,0,0,0,60.0 G,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,blueberry,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/blueberry.png?alt=media&token=b33a718d-d2ed-4940-b2a1-d9c4217a9b60
cherry,0,0,40.0 MG,42.0 G,0,0,0.0 MG,0,0,0,360 KCAL,0,0,7.0 G,0.0 G,2.0 G,0,0,0,0,1.44 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0 G,0,0,0,0,0,0,0,0,0,0,0,200 MG,0,0,0,0,18.0 G,20.0 G,0,1000.0 IU,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,cherry,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/cherry.png?alt=media&token=73b387be-62d6-41ab-9070-ef648b1c9b58
grape,0,0,0,13.2 G,0,0,0,0,0,0,54.0 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,3.0 MG,0,0,0,0,13.2 G,0.0 G,0,0,0,0,0,0,20.3 MG,0,0,0,0,0,0,0,grape,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/grape.png?alt=media&token=e92cf646-bc6e-43be-a2b6-bbc4cf3da19a
grapefruit,0,0,0,10.8 G,0,0,0,0,0,0,45.0 KCAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,9.9 G,0,0,0,9.91 G,0.0 G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grapefruit,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/grapefruit.png?alt=media&token=6a551b0d-3f07-4406-9595-46dfba552000
kiwi,0,0,41.0 MG,14.9 G,0,0,0.0 MG,0,0,0,61.0 KCAL,0,0,0.0 G,0.0 G,2.7 G,0,0,0,0,0.24 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311 MG,1.35 G,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0,0,0,0,8.78 G,0.68 G,0,68.0 IU,0,0,0,0,93.2 MG,0,0,0,0,37.8 UG,0,0,kiwi,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/kiwi.png?alt=media&token=d8e1d887-8747-4b76-b498-e55a3ac1aad6
mango,0,0,50.0 MG,85.0 G,0,0,0.0 MG,0,0,0,350 KCAL,0,0,0.0 G,0.0 G,2.5 G,0,0,0,0,0.0 MG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0 MG,0.0 G,0,0,0,0,0,0,0,0,0,0,0,138 MG,27.5 G,0,0,0,67.5 G,0.0 G,0,0,0,0,0,0,0,0,0.0 IU,0,0,0,0,0,mango,,https://firebasestorage.googleapis.com/v0/b/sugarfree-df710.appspot.com/o/mango.jpg?alt=media&token=054bf592-c684-4666-9f92-f270b8d49c55
